City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
76,Klaksvik,FO,62.2266,-6.589,40.12,70,100,27.74,overcast clouds
77,Oistins,BB,13.0667,-59.5333,71.69,83,20,8.05,light rain
78,Saint-Augustin,CA,51.226,-58.6502,7.56,95,99,1.79,overcast clouds
79,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,73.78,91,100,6.55,moderate rain
80,Port Blair,IN,11.6667,92.75,84.24,70,40,8.05,scattered clouds
81,Havre-Saint-Pierre,CA,50.2334,-63.5986,5.0,78,0,8.05,clear sky
82,Vardo,NO,70.3705,31.1107,30.18,86,75,6.91,light shower snow
83,Saint-Philippe,RE,-21.3585,55.7679,85.59,80,90,8.25,light rain
84,Dikson,RU,73.5069,80.5464,-4.09,97,100,6.73,light snow
85,Grao Mogol,BR,-16.5594,-42.8897,61.32,98,14,2.26,few clouds
86,Vestmannaeyjar,IS,63.4427,-20.2734,40.19,75,40,16.11,scattered clouds
87,Vodnyy,RU,63.5046,53.4095,17.65,94,100,11.63,light snow
88,Jablonne Nad Orlici,CZ,50.0296,16.6006,35.47,86,85,16.71,light snow
89,Los Rastrojos,VE,10.0259,-69.2417,65.48,88,15,4.56,few clouds
90,Rossano,IT,39.5751,16.6349,47.14,69,18,7.9,few clouds
91,Salalah,OM,17.0151,54.0924,74.01,58,45,8.52,scattered clouds
92,Saint Anthony,US,45.0205,-93.218,-9.8,97,7,5.17,clear sky
93,Manaquiri,BR,-3.3167,-60.35,75.65,98,100,3.27,overcast clouds
94,Oudtshoorn,ZA,-33.5907,22.2014,74.53,45,0,2.39,clear sky
95,Vorukh,TJ,39.8494,70.5838,37.96,67,96,3.83,overcast clouds
96,Hornepayne,CA,49.2138,-84.7705,-13.0,89,11,8.12,few clouds
97,Thompson,CA,55.7435,-97.8558,-20.04,69,0,4.61,clear sky
98,Lundazi,ZM,-12.2929,33.1782,78.04,62,18,4.0,few clouds
99,Longyearbyen,SJ,78.2186,15.6401,17.44,73,40,12.66,light snow
100,Riohacha,CO,11.5444,-72.9072,70.66,90,6,8.66,clear sky
101,Minas,UY,-34.3759,-55.2377,64.54,95,1,1.9,clear sky
102,Hithadhoo,MV,-0.6,73.0833,80.94,77,63,13.49,broken clouds
103,Mutare,ZW,-18.9707,32.6709,75.92,60,74,6.46,broken clouds
104,Nanortalik,GL,60.1432,-45.2371,19.99,89,100,6.11,overcast clouds
105,La Asuncion,VE,11.0333,-63.8628,73.11,83,0,8.46,clear sky
106,Nemours,FR,48.2751,2.6908,41.38,96,35,5.88,scattered clouds
107,Linhares,BR,-19.3911,-40.0722,69.28,96,45,1.74,scattered clouds
108,Urumqi,CN,43.801,87.6005,9.55,73,100,2.24,mist
109,Niksic,ME,42.7731,18.9445,40.86,71,11,8.84,few clouds
110,Mitsamiouli,KM,-11.3847,43.2844,82.58,73,8,6.29,clear sky
111,Taltal,CL,-25.4,-70.4833,65.91,78,9,0.65,clear sky
112,Sao Raimundo Nonato,BR,-9.0153,-42.6994,69.98,66,35,1.97,scattered clouds
113,Stephenville,US,32.2207,-98.2023,25.25,93,100,10.36,overcast clouds
114,Maldonado,UY,-34.6667,-54.9167,66.22,97,3,1.66,clear sky
115,Mount Pleasant,US,32.7941,-79.8626,57.34,98,100,0.0,fog
116,Irpa Irpa,BO,-17.7167,-66.2667,63.86,76,77,1.48,broken clouds
117,Espanola,US,35.9911,-106.0806,38.64,57,0,0.74,clear sky
118,Karaton,ID,-6.3424,106.1045,77.9,84,100,4.56,overcast clouds
119,Grindavik,IS,63.8424,-22.4338,32.47,69,75,31.07,snow
120,Domoni,KM,-12.2569,44.5319,86.36,64,7,4.56,clear sky
121,Saint-Joseph,RE,-21.3667,55.6167,84.58,79,83,8.23,light rain
122,Mehamn,NO,71.0357,27.8492,31.95,93,100,14.97,light snow
123,Beloha,MG,-25.1667,45.05,78.67,56,76,12.21,broken clouds
124,Awbari,LY,26.5921,12.7805,48.38,24,0,7.27,clear sky
125,Buncrana,IE,55.1333,-7.45,42.57,74,84,23.85,broken clouds
126,Turbat,PK,26.0023,63.044,75.15,16,0,11.16,clear sky
127,Inirida,CO,3.8653,-67.9239,70.56,71,75,2.24,broken clouds
128,Sambava,MG,-14.2667,50.1667,84.31,71,14,10.02,light rain
129,Gondar,ET,12.6,37.4667,74.64,20,8,1.81,clear sky
130,Eslamshahr,IR,35.5605,51.2346,41.88,81,100,6.91,moderate rain
131,Acarau,BR,-2.8856,-40.12,76.24,87,37,9.66,scattered clouds
132,Gornopravdinsk,RU,60.05,69.9,15.78,92,91,6.71,overcast clouds
133,Rio Gallegos,AR,-51.6226,-69.2181,48.94,56,98,12.91,overcast clouds
134,Padilla,CO,3.2204,-76.3139,69.37,89,99,3.11,overcast clouds
135,Adrar,MR,20.5022,-10.0711,56.55,29,17,8.41,few clouds
136,Brigantine,US,39.4101,-74.3646,45.01,94,41,5.01,scattered clouds
137,Shu,KZ,43.5983,73.7614,33.28,84,87,3.47,overcast clouds
138,Chissamba,AO,-12.1667,17.3333,69.64,76,87,0.69,overcast clouds
139,Torres,BR,-29.3353,-49.7269,73.83,92,34,5.21,scattered clouds
140,Marawi,PH,7.9986,124.2928,73.09,91,99,4.5,overcast clouds
141,Jadu,LY,31.953,12.0261,40.96,59,6,6.78,clear sky
142,Beyneu,KZ,45.3167,55.2,38.46,59,11,16.46,few clouds
143,Taoudenni,ML,22.6783,-3.9836,54.14,19,19,10.76,few clouds
144,Ampanihy,MG,-24.7,44.75,80.26,57,87,11.74,overcast clouds
145,Araouane,ML,18.9048,-3.5265,53.82,16,9,10.2,clear sky
146,Oranjestad,AW,12.524,-70.027,77.9,77,12,18.86,few clouds
147,Cidreira,BR,-30.1811,-50.2056,72.12,94,1,7.74,clear sky
148,Mitu,CO,1.1983,-70.1733,69.93,89,79,1.25,broken clouds
149,Hare Bay,CA,48.8499,-54.0148,25.95,87,100,5.48,overcast clouds
150,Abu Samrah,SY,35.3029,37.1841,47.21,79,100,6.11,overcast clouds
151,Torbay,CA,47.6666,-52.7314,32.58,96,100,5.75,overcast clouds
152,Leshukonskoye,RU,64.8989,45.7622,25.18,95,100,12.1,light snow
153,Ilo,PE,-17.6394,-71.3375,71.38,93,100,5.95,overcast clouds
154,Tahoua,NE,14.8888,5.2692,71.46,4,97,11.65,overcast clouds
155,Margate,GB,51.3813,1.3862,41.88,83,99,5.01,overcast clouds
156,Atasu,KZ,48.6814,71.6433,20.5,82,96,1.3,overcast clouds
157,Chinsali,ZM,-10.5414,32.0816,74.77,70,6,5.39,clear sky
158,Halifax,CA,44.6453,-63.5724,31.5,92,36,3.98,scattered clouds
159,Atar,MR,20.5169,-13.0499,61.18,27,100,5.73,overcast clouds
160,Mahibadhoo,MV,3.7833,72.9667,80.02,73,99,10.78,overcast clouds
161,Ostrovnoy,RU,68.0531,39.5131,25.14,94,100,11.48,light snow
162,Murgab,TM,37.4966,61.9714,58.69,38,100,17.38,overcast clouds
163,Tahta,EG,26.7693,31.5021,61.63,27,0,16.26,clear sky
164,Rovnoye,RU,50.7765,46.0509,29.43,83,99,11.18,overcast clouds
165,Meulaboh,ID,4.1363,96.1285,82.27,76,67,3.78,light rain
166,Bambous Virieux,MU,-20.3428,57.7575,80.22,68,100,6.22,overcast clouds
167,Shubarkuduk,KZ,49.1447,56.4872,16.99,79,4,7.78,clear sky
168,Suwalki,PL,54.1118,22.9309,31.5,88,36,12.64,scattered clouds
169,Youghal,IE,51.95,-7.8506,45.61,95,100,12.77,overcast clouds
170,Sao Felix Do Xingu,BR,-6.6447,-51.995,70.66,97,99,1.5,overcast clouds
171,Marzuq,YE,14.4,46.4667,76.68,22,9,4.47,clear sky
172,Usinsk,RU,65.9939,57.5281,14.76,87,100,20.54,overcast clouds
173,Jutai,BR,-5.1833,-68.9,71.04,99,100,0.31,overcast clouds
174,Henties Bay,NA,-22.116,14.2845,65.01,81,32,6.8,scattered clouds
175,Ancud,CL,-41.8697,-73.8203,46.06,74,0,3.69,clear sky
176,Havelock,US,34.8791,-76.9013,54.0,90,100,3.44,mist
177,Caravelas,BR,-17.7125,-39.2481,71.37,93,48,2.15,scattered clouds
178,Vangaindrano,MG,-23.35,47.6,78.15,86,80,9.98,light rain
179,Ratnagiri,IN,16.9833,73.3,87.28,39,4,8.39,clear sky
180,Faya,SA,18.3851,42.4509,64.92,32,15,7.47,few clouds
181,Galle,LK,6.0367,80.217,84.31,66,100,16.69,overcast clouds
182,Laguna,US,38.421,-121.4238,46.49,41,0,13.8,clear sky
183,Talladega,US,33.4359,-86.1058,57.54,94,100,0.0,overcast clouds
184,Vasto,IT,42.1243,14.7059,47.68,70,60,8.79,moderate rain
185,Umm Kaddadah,SD,13.6017,26.6876,88.16,7,3,11.25,clear sky
186,Altay,CN,47.8667,88.1167,17.42,75,13,1.68,few clouds
187,Khodz,RU,44.5102,40.7142,40.23,75,99,1.99,overcast clouds
188,Manati,PR,18.4275,-66.4921,76.68,83,30,13.38,scattered clouds
189,Saldanha,ZA,-33.0117,17.9442,71.15,60,2,2.91,clear sky
190,Opuwo,NA,-18.0607,13.84,73.8,42,95,2.68,overcast clouds
191,Roald,NO,62.5833,6.1333,38.75,64,40,16.11,scattered clouds
192,Abapo,BO,-18.8333,-63.4667,65.71,98,99,1.9,overcast clouds
193,Mikhaylovka,RU,50.06,43.2379,34.79,93,37,8.97,scattered clouds
194,Voljevac,BA,43.8786,17.6592,30.58,93,79,5.28,light snow
195,Savannah Bight,HN,16.45,-85.85,78.35,78,21,17.27,light rain
196,Saint George,US,37.1041,-113.5841,27.19,52,0,5.01,clear sky
197,Nizwa,OM,22.9333,57.5333,72.82,29,0,5.99,clear sky
198,Piacabucu,BR,-10.4056,-36.4344,76.44,81,75,5.91,broken clouds
199,Riachao Das Neves,BR,-11.7461,-44.91,68.2,79,64,0.83,broken clouds
200,Leh,IN,34.1667,77.5833,17.58,70,67,4.03,broken clouds
201,Sisimiut,GL,66.9395,-53.6735,7.29,89,100,7.7,light snow
202,Sitia,GR,35.2,26.0986,55.98,68,60,17.18,broken clouds
203,Berlevag,NO,70.8578,29.0864,32.0,86,20,10.36,few clouds
204,Port-Gentil,GA,-0.7193,8.7815,75.16,94,20,4.61,few clouds
205,Guatire,VE,10.4762,-66.5427,69.69,97,44,2.04,scattered clouds
